Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),latitude,longitude,state,district,city_town_village,Original_Raw_Location,Extractor_Method,Geocoder_Method
ACC,ACC LTD.,ACC DRONA PROMOTING LOCAL ARTS AND CULTURE TRAINING TO PROMOTE RURAL SPORTS NATIONALLY RECOGNIZED SPORTS PARALYMPIC SPORTS AND OLYMPIC SPORTS PROTECTION OFNATIONAL HERITAGE ART AND CULTURE INCLUDING RESTORATION OF BUILDINGS AND SITES OF HISTORICAL IMPORTANCE AND WORKS OF ART SETTING UP PUBLIC LIBRARIES PROMOTION AND DEVELOPMENT OF TRADITIONAL ARTS AND HANDICRAFTS,,"SCHEDULE VII (II), SCHEDULE VII (V), SCHEDULE VII (VII)",48.75,23.5,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,PANCHAM RESEARCH & BIO TECH SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,JAN MANGAL SANSTHAN,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,WESTRIC TRUST,SATTVA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,AKRUTI RURAL DEVELOPMENT TRUST,FOUNDATION FOR MSME CLUSTERS,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,DILASA JANVIKAS PRATISHTHAN,JAN SEVAK SAMITI,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,HARITIKA,IIMPACT, NEW DELHI,BALA JI ASSOCIATES",,,,21.2319922,83.5652737,Odisha,Bargarh,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC DRONA PROMOTING LOCAL ARTS AND CULTURE TRAINING TO PROMOTE RURAL SPORTS NATIONALLY RECOGNIZED SPORTS PARALYMPIC SPORTS AND OLYMPIC SPORTS PROTECTION OFNATIONAL HERITAGE ART AND CULTURE INCLUDING RESTORATION OF BUILDINGS AND SITES OF HISTORICAL IMPORTANCE AND WORKS OF ART SETTING UP PUBLIC LIBRARIES PROMOTION AND DEVELOPMENT OF TRADITIONAL ARTS AND HANDICRAFTS,,"SCHEDULE VII (II), SCHEDULE VII (V), SCHEDULE VII (VII)",48.75,23.5,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,PANCHAM RESEARCH & BIO TECH SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,JAN MANGAL SANSTHAN,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,WESTRIC TRUST,SATTVA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,AKRUTI RURAL DEVELOPMENT TRUST,FOUNDATION FOR MSME CLUSTERS,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,DILASA JANVIKAS PRATISHTHAN,JAN SEVAK SAMITI,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,HARITIKA,IIMPACT, NEW DELHI,BALA JI ASSOCIATES",,,,25.4367659,75.7361471,Rajasthan,Bundi,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC DRONA PROMOTING LOCAL ARTS AND CULTURE TRAINING TO PROMOTE RURAL SPORTS NATIONALLY RECOGNIZED SPORTS PARALYMPIC SPORTS AND OLYMPIC SPORTS PROTECTION OFNATIONAL HERITAGE ART AND CULTURE INCLUDING RESTORATION OF BUILDINGS AND SITES OF HISTORICAL IMPORTANCE AND WORKS OF ART SETTING UP PUBLIC LIBRARIES PROMOTION AND DEVELOPMENT OF TRADITIONAL ARTS AND HANDICRAFTS,,"SCHEDULE VII (II), SCHEDULE VII (V), SCHEDULE VII (VII)",48.75,23.5,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,PANCHAM RESEARCH & BIO TECH SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,JAN MANGAL SANSTHAN,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,WESTRIC TRUST,SATTVA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,AKRUTI RURAL DEVELOPMENT TRUST,FOUNDATION FOR MSME CLUSTERS,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,DILASA JANVIKAS PRATISHTHAN,JAN SEVAK SAMITI,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,HARITIKA,IIMPACT, NEW DELHI,BALA JI ASSOCIATES",,,,10.8124445,77.0796084,Tamil Nadu,Coimbatore,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC DRONA PROMOTING LOCAL ARTS AND CULTURE TRAINING TO PROMOTE RURAL SPORTS NATIONALLY RECOGNIZED SPORTS PARALYMPIC SPORTS AND OLYMPIC SPORTS PROTECTION OFNATIONAL HERITAGE ART AND CULTURE INCLUDING RESTORATION OF BUILDINGS AND SITES OF HISTORICAL IMPORTANCE AND WORKS OF ART SETTING UP PUBLIC LIBRARIES PROMOTION AND DEVELOPMENT OF TRADITIONAL ARTS AND HANDICRAFTS,,"SCHEDULE VII (II), SCHEDULE VII (V), SCHEDULE VII (VII)",48.75,23.5,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,PANCHAM RESEARCH & BIO TECH SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,JAN MANGAL SANSTHAN,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,WESTRIC TRUST,SATTVA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,AKRUTI RURAL DEVELOPMENT TRUST,FOUNDATION FOR MSME CLUSTERS,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,DILASA JANVIKAS PRATISHTHAN,JAN SEVAK SAMITI,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,HARITIKA,IIMPACT, NEW DELHI,BALA JI ASSOCIATES",,,,26.2071366,81.69259,Uttar Pradesh,Amethi,Gauriganj,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC DRONA PROMOTING LOCAL ARTS AND CULTURE TRAINING TO PROMOTE RURAL SPORTS NATIONALLY RECOGNIZED SPORTS PARALYMPIC SPORTS AND OLYMPIC SPORTS PROTECTION OFNATIONAL HERITAGE ART AND CULTURE INCLUDING RESTORATION OF BUILDINGS AND SITES OF HISTORICAL IMPORTANCE AND WORKS OF ART SETTING UP PUBLIC LIBRARIES PROMOTION AND DEVELOPMENT OF TRADITIONAL ARTS AND HANDICRAFTS,,"SCHEDULE VII (II), SCHEDULE VII (V), SCHEDULE VII (VII)",48.75,23.5,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,PANCHAM RESEARCH & BIO TECH SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,JAN MANGAL SANSTHAN,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,WESTRIC TRUST,SATTVA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,AKRUTI RURAL DEVELOPMENT TRUST,FOUNDATION FOR MSME CLUSTERS,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,DILASA JANVIKAS PRATISHTHAN,JAN SEVAK SAMITI,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,HARITIKA,IIMPACT, NEW DELHI,BALA JI ASSOCIATES",,,,23.2020967,86.3228988,West Bengal,Purulia,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,22.1638486,82.1365923,Chhattisgarh,Bilaspur,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,21.1982964,81.4007922,Chhattisgarh,Durg,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,22.4282857,85.5317483,Jharkhand,Dhanbad,West Singhbhum,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,photon
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,15.1430224,76.9173277,Karnataka,Bellary,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,photon
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,13.438074,77.7291955,Karnataka,Chikkaballapur,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,photon
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,17.166667,77.083333,Karnataka,Kalaburagi,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)",llm,nominatim
